category,title,triggers,proactive_triggers,goal,exercise_type,description
Anxiety,5-4-3-2-1 Grounding,"['panic attack', 'mind is racing', 'feel overwhelmed', ""can't breathe"", ""feel like I'm not real"", 'dissociating', 'need to ground myself', ""anxious thoughts won't stop"", 'feeling dizzy', 'out of body experience', 'world feels unreal', 'spiraling']","['how to be more present', 'quick grounding exercise', 'a way to connect with my surroundings', 'a simple mindfulness technique']",To quickly pull your mind out of anxious thoughts and anchor it in the present moment.,Grounding Technique,"Ground yourself by noticing your surroundings: 5 things you can see, 4 things you can feel, 3 things you can hear, 2 things you can smell, and 1 thing you can taste."
Anxiety,Worry Time,"['worrying all the time', ""can't stop thinking about problems"", ""anxious thoughts won't leave me alone"", 'stressing about the future', 'what if thoughts', 'anxiety is distracting me all day', 'ruminating', 'overthinking', 'stuck in a loop of negative thoughts']","['how to manage my worries better', 'a technique for overthinking', 'how to stop worrying so much', 'a way to control my anxiety']","To contain anxious thoughts to a specific time, freeing up the rest of your day.",Cognitive Strategy,"Contain anxious thoughts by scheduling a specific 'worry time' (e.g., 15 minutes). If worries appear outside this time, write them down to address during your scheduled slot."
Anxiety,Box Breathing,"['feeling stressed out', 'heart is pounding', 'need to calm down', 'feel jittery', 'on edge', 'physical anxiety', 'nervous system is on high alert', 'short of breath', 'tense muscles', 'need to relax my body']","['simple breathing exercise', 'a way to relax', 'daily relaxation technique', 'how to practice mindful breathing', 'a quick stress reliever']",To physically calm your body's stress response and regulate your nervous system.,Breathing Exercise,"Regulate your nervous system with controlled breathing. Inhale for a 4-count, hold for 4, exhale for 4, and hold for 4. Repeat this cycle to promote calmness."
Depression,Do One Small Thing (Behavioral Activation),"['no motivation', ""can't get out of bed"", 'everything feels impossible', 'too tired to do anything', 'feeling paralyzed by depression', ""don't know where to start"", 'stuck in a rut', 'no energy', 'even small things feel hard']","['how to build momentum', 'a small step to feel better', 'how to get started when I feel stuck', 'how to fight lethargy']",To create momentum and a sense of accomplishment by taking one small action.,Behavioral Activation,"Combat low motivation by completing one small, manageable task, like washing a single dish. This builds momentum and a sense of accomplishment."
Depression,Three Good Things,"['feeling hopeless', 'nothing ever goes right', 'everything is bad', 'pessimistic', 'only see the negative', 'feeling down', 'stuck in negativity', 'everything feels bleak', ""can't see any good"", 'feeling numb']","['how to be more positive', 'an exercise for gratitude', 'a simple daily reflection', 'focus on the good', 'a way to appreciate the small things']","To train your brain to notice and focus on positive experiences, counteracting a negative bias.",Positive Psychology,"Each night, write down three positive things that happened during your day, no matter how small. This practice helps shift your focus towards positive experiences."
Depression,Challenge One Negative Thought,"[""I'm a failure"", 'I always mess everything up', 'I hate myself', 'worthless', 'negative self-talk', 'inner critic is loud', 'self-critical thoughts', ""I'm worthless"", ""what's the point"", 'self-loathing']","['how to manage my inner critic', 'a cognitive exercise', 'how to think more realistically', 'a way to challenge negative beliefs']",To weaken the power of negative self-talk by finding evidence that contradicts it.,Cognitive Reframing,"When a negative thought arises (e.g., 'I fail at everything'), challenge it by finding one piece of evidence to the contrary. This weakens the hold of negative thinking patterns."
ADHD,The Pomodoro Technique,"[""can't focus"", 'easily distracted', 'procrastinating', 'need to study', ""can't start my homework"", 'overwhelmed by work', 'deadline paralysis', ""can't get started on my essay"", 'zoning out']","['how to improve my focus', 'a productivity technique', 'a study method', 'how to manage my time better', 'a framework for deep work']","To improve focus and manage energy by working in short, dedicated intervals.",Time Management Technique,"Improve focus by working in short, timed intervals. Set a timer for 25 minutes of focused work on one task, followed by a 5-minute break."
ADHD,Task Breakdown,"['this project is too big', ""don't know where to begin"", 'cleaning my room is impossible', 'feeling overwhelmed by a task', 'a big task feels paralyzing', ""I'm shutting down"", 'avoiding a big project']","['how to tackle big projects', 'a way to make tasks less overwhelming', 'how to get organized', 'a planning technique']","To make large, overwhelming tasks feel manageable and easier to start.",Task Management,"Make overwhelming tasks manageable by breaking them into smaller, concrete steps. Focus on completing just one small step to make it easier to start."
ADHD,The 2-Minute Rule,"['my life is a mess with small tasks', 'I put off everything', 'too many small things to do', 'need to be more organized', 'procrastinate on simple chores', 'my apartment is a disaster', 'piles of small tasks', 'life admin is overwhelming']","['how to stop procrastinating on small things', 'a tip for staying tidy', 'a simple productivity hack', 'how to build good habits']",To reduce procrastination and clutter by immediately completing small tasks.,Productivity Hack,"Reduce procrastination by immediately doing any task that takes less than two minutes to complete, such as rinsing a dish or answering a quick email."
OCD,Delay the Ritual,"['urge to check things', 'need to do my ritual', ""can't resist the compulsion"", 'feel like I have to wash my hands again', 'compulsive behavior', 'urge to count', 'need for symmetry', 'fear of contamination']","['how to reduce compulsions', 'a technique for OCD urges', 'how to manage rituals', 'a first step in ERP']",To build tolerance for discomfort and prove that you can survive the urge without acting on it.,Exposure and Response Prevention (ERP),"When you feel an urge for a compulsion, set a timer and delay acting on it for a few minutes. This builds tolerance for discomfort and reduces the compulsion's power."
